user,percentage_personalization,accuracy,f1
0,0.0,50.92838196286472,0.4124070600075667
0,0.05,71.08753315649868,0.6454207309142932
0,0.1,74.80106100795756,0.7346722069876432
0,0.2,79.3103448275862,0.732008830022075
0,0.5,79.57559681697613,0.7339055793991417
0,0.8,77.71883289124668,0.7632727272727273
0,0.99,73.20954907161804,0.7305623682285616
1,0.0,55.28455284552845,0.4560454520273197
1,0.05,67.75067750677506,0.6447043682659446
1,0.1,74.25474254742548,0.7073902734528236
1,0.2,87.26287262872629,0.8709555892028774
1,0.5,94.03794037940379,0.9377781631119589
1,0.8,95.1219512195122,0.9499455179190586
1,0.99,95.39295392953929,0.9523335248174529
2,0.0,44.6524064171123,0.3393710928862892
2,0.05,64.97326203208556,0.6414091629614489
2,0.1,70.85561497326204,0.6432518440663703
2,0.2,79.14438502673796,0.7516625725273872
2,0.5,78.07486631016043,0.7129040015063455
2,0.8,97.32620320855615,0.9733406334832507
2,0.99,78.6096256684492,0.7183441558441559
7,0.0,60.15831134564644,0.5351773560526529
7,0.05,77.04485488126649,0.7084946387403205
7,0.1,77.04485488126649,0.7083832832074909
7,0.2,77.83641160949868,0.7164844894155239
7,0.5,92.0844327176781,0.9200477005928054
7,0.8,95.25065963060686,0.9529156441318551
7,0.99,98.41688654353563,0.9843472919898119
8,0.0,39.25925925925926,0.28376110175273356
8,0.05,72.09876543209876,0.6491006367805628
8,0.1,77.28395061728395,0.7037154170406074
8,0.2,79.25925925925925,0.7239215518993263
8,0.5,85.92592592592592,0.8385860232247062
8,0.8,85.18518518518519,0.8276175660875495
8,0.99,79.75308641975309,0.728643563703764
9,0.0,53.37078651685393,0.4250420886087426
9,0.05,73.87640449438203,0.6917563192941847
9,0.1,75.0,0.7024742122062957
9,0.2,76.12359550561797,0.7165997638724911
9,0.5,77.24719101123596,0.7267253930729108
9,0.8,75.56179775280899,0.7083500063990851
9,0.99,76.96629213483146,0.7238875310201254
6,0.0,36.81318681318681,0.3445927573847485
6,0.05,92.58241758241758,0.923576967705977
6,0.1,92.03296703296704,0.9208855279789633
6,0.2,94.78021978021978,0.9467295098666589
6,0.5,96.42857142857143,0.9629228642246715
6,0.8,96.42857142857143,0.9629480771930993
6,0.99,97.8021978021978,0.9768198232399647
5,0.0,74.54068241469817,0.6881073437673987
5,0.05,71.65354330708661,0.651761288746419
5,0.1,75.59055118110236,0.6930691530691531
5,0.2,77.69028871391076,0.7145897570972998
5,0.5,98.4251968503937,0.9841722167817707
5,0.8,98.68766404199475,0.986840282524493
5,0.99,98.9501312335958,0.9895071815601618
3,0.0,65.35433070866142,0.5750690154808206
3,0.05,75.59055118110236,0.6887133902326734
3,0.1,72.96587926509186,0.663000531644377
3,0.2,78.47769028871392,0.7187770322769579
3,0.5,80.05249343832021,0.7333333333333333
3,0.8,79.5275590551181,0.7281033262760909
3,0.99,80.05249343832021,0.7333333333333333
4,0.0,76.39257294429709,0.6998443440329642
4,0.05,96.55172413793103,0.9654961329669721
4,0.1,97.34748010610079,0.9735019028357556
4,0.2,97.87798408488064,0.9787880722688695
4,0.5,98.6737400530504,0.986840852174705
4,0.8,98.6737400530504,0.9867705210119369
4,0.99,98.6737400530504,0.9867705210119369
